project	subproject	id	SampleName	sample	library	SubprojectId	material	aliquot	flowcell	lane	index	libraryPassFail	LanePassFail	libApplication	Kit	Organism	Sex	pedigree	cohort	GenomeRef	SplitIndexcohort	SubprojectCov	motherId	fatherId	library__gbs_index__multiplex_index_name	readLength	sampleStatus	mappingVersion	mapperName	mapperVersion
EPID	EPID_27	167262	GP029_PLKO_CT_Diet	AQ9847	AQ9847	4447	Cells in lysis buffer	None	HJWCVDRXX	1	SI-TT-A5	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167262	GP029_PLKO_CT_Diet	AQ9847	AQ9847	4447	Cells in lysis buffer	None	HJWCVDRXX	2	SI-TT-A5	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167262	GP029_PLKO_CT_Diet	AQ9847	AQ9847	4447	Cells in lysis buffer	None	HMHMVDRXX	1	SI-TT-A5	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167262	GP029_PLKO_CT_Diet	AQ9847	AQ9847	4447	Cells in lysis buffer	None	HMHMVDRXX	2	SI-TT-A5	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167263	GP027_PKLO_Palm_Diet	AQ9848	AQ9848	4447	Cells in lysis buffer	None	HJWCVDRXX	1	SI-TT-A6	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167263	GP027_PKLO_Palm_Diet	AQ9848	AQ9848	4447	Cells in lysis buffer	None	HJWCVDRXX	2	SI-TT-A6	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167263	GP027_PKLO_Palm_Diet	AQ9848	AQ9848	4447	Cells in lysis buffer	None	HMHMVDRXX	1	SI-TT-A6	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167263	GP027_PKLO_Palm_Diet	AQ9848	AQ9848	4447	Cells in lysis buffer	None	HMHMVDRXX	2	SI-TT-A6	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167264	GP20004_dKDCD36_CT_Diet	AQ9849	AQ9849	4447	Cells in lysis buffer	None	HJWCVDRXX	1	SI-TT-A7	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167264	GP20004_dKDCD36_CT_Diet	AQ9849	AQ9849	4447	Cells in lysis buffer	None	HJWCVDRXX	2	SI-TT-A7	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167264	GP20004_dKDCD36_CT_Diet	AQ9849	AQ9849	4447	Cells in lysis buffer	None	HMHMVDRXX	1	SI-TT-A7	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167264	GP20004_dKDCD36_CT_Diet	AQ9849	AQ9849	4447	Cells in lysis buffer	None	HMHMVDRXX	2	SI-TT-A7	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167265	GP024_dKDCD36_Palm_Diet	AQ9850	AQ9850	4447	Cells in lysis buffer	None	HJWCVDRXX	1	SI-TT-A8	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167265	GP024_dKDCD36_Palm_Diet	AQ9850	AQ9850	4447	Cells in lysis buffer	None	HJWCVDRXX	2	SI-TT-A8	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167265	GP024_dKDCD36_Palm_Diet	AQ9850	AQ9850	4447	Cells in lysis buffer	None	HMHMVDRXX	1	SI-TT-A8	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
EPID	EPID_27	167265	GP024_dKDCD36_Palm_Diet	AQ9850	AQ9850	4447	Cells in lysis buffer	None	HMHMVDRXX	2	SI-TT-A8	pass	pass	Single cell RNA-seq	None	Mus musculus	0	None	None	None	split	200.000	None	None	None	1 * 28 +10+10+82	Unaffected	None	None	None
